Response ID,"1、What Annual Salary you think is low, medium, and high?
Average Annual Salary for first year graduate is around 70K",,,"2、How much commute time you think is low， medium，and high？
（please respond with minutes)",,,"3、What company size（how much employees they have）you think is small，medium，and large？
（please respond with number of employees）",,
,Low,Medium,High,Low,Medium,High,Low,Medium,High
1,50,75,100,30,60,90,20,100,500
2,65,75,90,15,30,60,20,55,200
3,50,70,90,20,40,60,50,350,250
4,30,70,120,20,30,50,500,1000,1000
5,70,80,100,30,20,10,100,200,400
6,30,50,100,20,60,120,50,100,1000
7,45,70,100,15,45,90,50,200,500
8,30,60,90,20,40,60,10,50,80
9,40,60,80,20,40,40,50,500,500
10,50,70,90,20,40,60,20,50,70
11,50,70,90,20,40,60,30,60,150
12,50,70,90,10,20,30,20,50,100
13,60,70,80,10,20,30,30,50,100
14,50,85,150,10,30,50,10,200,1000
15,60,80,120,20,35,60,1000,5000,10000
16,70,100,150,20,50,100,100,1000,10000
17,40,60,80,60,30,60,100,5000,10000
18,48,84,120,20,35,50,30,60,100
19,55,75,110,10,40,80,25,100,200
20,50,70,150,20,40,120,100,100,300
21,30,70,100,15,30,50,100,500,800
22,65,85,95,15,25,35,50,1000,1000
23,50,70,100,10,20,40,10,30,100
24,50,70,100,30,60,120,100,500,1000
25,60,80,120,10,30,30,50,200,500
26,60,70,100,20,30,45,30,100,200
27,50,70,100,20,30,45,10,50,100
28,50,100,500,60,120,720,50,500,5000
29,50,70,90,15,30,60,20,50,100
30,35,65,130,7,30,60,10,50,100
31,80,10,12,20,30,40,50,300,500
32,50,70,100,20,40,60,20,100,500
33,70,100,200,10,30,60,1000,5000,10000
34,60,80,100,30,30,30,50,500,1000
35,60,105,150,30,45,60,30,100,200
36,70,90,130,10,30,60,50,150,300
37,20,70,150,10,30,60,100,500,1000
38,50,70,150,20,40,60,20,500,1000
39,10,50,100,20,40,60,25,50,100
40,60,70,100,20,30,60,50,100,200
41,40,70,100,20,40,60,200,500,1000
42,70,135,125,15,25,30,50,150,200
43,50,100,300,15,30,60,20,100,500
44,20,35,80,3,15,60,10,50,100
45,60,70,100,30,45,60,5,100,10000
46,70,85,100,20,30,40,300,2000,3000
47,80,120,150,30,50,80,100,500,5000
48,70,70,120,20,35,60,500,700,1000
49,20,48,70,15,25,40,15,50,100
50,40,70,100,10,30,50,10,50,100
51,50,70,150,15,60,90,500,3000,10000
52,50,80,120,10,30,60,30,200,500
53,40,70,100,20,40,60,50,1000,10000
54,60,100,150,30,50,60,10,50,200
55,50,100,200,20,50,80,50,200,500
56,60,70,90,30,45,60,500,1000,3000
57,65,85,120,10,20,40,15,30,50
58,50,75,100,60,45,60,100,1000,1500
59,60,70,8,30,45,60,200,2000,3000
60,40,70,100,60,40,60,80,700,1000
61,65,85,100,10,20,50,100,100,1000
62,70,150,300,10,20,60,100,500,1000
63,48,70,150,10,30,60,200,1000,5000
64,40,70,100,5,15,30,10,30,100
65,40,70,100,5,15,30,10,30,100
66,30,60,100,10,120,240,1,2,3
67,40,70,100,10,20,30,10,30,100
68,55,70,110,60,90,120,50,100,200
69,45,75,105,30,60,90,50,200,500
70,50,75,90,10,20,50,5,50,100
71,10,20,70,50,300,900,100,500,4999
